"﻿ID","Name","Tax status"
"766","Doc Holiday 2 - ženska majica crna","taxable"
"767","Doc Holiday 2 - duks crni","taxable"
"774","Doc Holiday - majica bela","taxable"
"775","Doc Holiday - ženska majica bela","taxable"
"776","Doc Holiday - duks beli","taxable"
"777","Doc Holiday - majica crna","taxable"
"778","Doc Holiday - ženska majica crna","taxable"
"779","Doc Holiday - duks crni","taxable"
"787","Fight Club - majica bela","taxable"
"788","Fight Club - ženska majica bela","taxable"
"789","Fight Club - duks beli","taxable"
"790","Fight Club - majica crna","taxable"
"791","Fight Club - ženska majica crna","taxable"
"792","Fight Club - duks crni","taxable"
"799","Fight Club 2 - majica bela","taxable"
"800","Fight Club 2 - ženska majica bela","taxable"
"801","Fight Club 2 - duks beli","taxable"
"803","Fight Club 2 - majica crna","taxable"
"804","Fight Club 2 - ženska majica crna","taxable"
"805","Fight Club 2 - duks crni","taxable"
"818","Forrest Gump - majica bela","taxable"
"819","Forrest Gump - ženska majica bela","taxable"
"820","Forrest Gump - duks beli","taxable"
"821","Forrest Gump - majica crna","taxable"
"822","Forrest Gump - ženska majica crna","taxable"
"823","Forrest Gump - duks crni","taxable"
"830","Forrest Gump (sa tekstom) - majica bela","taxable"
"831","Forrest Gump (sa tekstom) - ženska majica bela","taxable"
"832","Forrest Gump (sa tekstom) - duks beli","taxable"
"833","Forrest Gump (sa tekstom) - majica crna","taxable"
"834","Forrest Gump (sa tekstom) - ženska majica crna","taxable"
"835","Forrest Gump (sa tekstom) - duks crni","taxable"
"841","Friends - majica bela","taxable"
"842","Friends - majica crna","taxable"
"843","Friends - ženska majica crna","taxable"
"844","Friends - duks crni","taxable"
"853","Gladijator - majica bela","taxable"
"854","Gladijator - ženska majica bela","taxable"
"856","Gladijator - duks beli","taxable"
"857","Gladijator - majica crna","taxable"
"858","Gladijator - ženska majica crna","taxable"
"859","Gladijator - duks crni","taxable"
"867","Gladijator 2 - majica bela","taxable"
"868","Gladijator 2 - ženska majica bela","taxable"
"869","Gladijator 2 - duks beli","taxable"
"870","Gladijator 2 - majica crna","taxable"
"871","Gladijator 2 - ženska majica crna","taxable"
"872","Gladijator 2 - duks crni","taxable"
"879","Hellboy - majica bela","taxable"
"880","Hellboy - ženska majica bela","taxable"
"881","Hellboy - duks beli","taxable"
"882","Hellboy - majica crna","taxable"
"883","Hellboy - ženska majica crna","taxable"
"884","Hellboy - duks crni","taxable"
"893","Helloween (Friends) - majica bela","taxable"
"894","Helloween (Friends) - ženska majica bela","taxable"
"895","Helloween (Friends) - duks beli","taxable"
"896","Helloween (Friends) - majica crna","taxable"
"897","Helloween (Friends) - ženska majica crna","taxable"
"898","Helloween (Friends) - duks crni","taxable"
"905","Helloween (Horor movies) - majica bela","taxable"
"906","Helloween (Horor movies) - ženska majica bela","taxable"
"907","Helloween (Horor movies) - duks beli","taxable"
"908","Helloween (Horor movies) - majica crna","taxable"
"909","Helloween (Horor movies) - ženska majica crna","taxable"
"910","Helloween (Horor movies) - duks crni","taxable"
